merchant,description,amount,category,date,timestamp
Max Hospital,Net Banking - eye checkup,200.0,HEALTHCARE,2025-04-25,2025-04-25 10:09:56
Gaming Zone,movie ticket,148.45,ENTERTAINMENT,2024-06-25,2024-06-25 10:09:56
Water Board,internet bill,1500.0,UTILITIES,2024-11-01,2024-11-01 10:09:56
HDFC Securities,RTGS Transfer - life insurance premium,5000.0,INVESTMENT,2025-05-25,2025-05-25 10:09:56
HDFC AMC,Credit Card Payment - bond investment,232746.91,INVESTMENT,2024-07-04,2024-07-04 10:09:56
ATM Withdrawal,other charges,27259.4,MISCELLANEOUS,2024-08-27,2024-08-27 10:09:56
Canteen,dinner payment,500.0,FOOD_DINING,2025-03-02,2025-03-02 10:09:56
FreshMenu,food delivery,408.07,FOOD_DINING,2024-09-22,2024-09-22 10:09:56
Fortis Hospital,IMPS Payment - medical emergency,16047.15,HEALTHCARE,2024-07-23,2024-07-23 10:09:56
Myntra,electronics,43809.47,SHOPPING,2025-09-28,2025-09-28 10:09:56
Nykaa,electronics,3000.0,SHOPPING,2025-01-24,2025-01-24 10:09:56
ICICI Direct Online,Debit Card Payment - mutual fund SIP,172419.56,INVESTMENT,2024-09-30,2024-09-30 10:09:56
Swiggy,lunch order,872.16,FOOD_DINING,2025-02-06,2025-02-06 10:09:56
Upstox,retirement fund,50000.0,INVESTMENT,2024-11-07,2024-11-07 10:09:56
Den Networks,phone bill,2000.0,UTILITIES,2024-05-05,2024-05-05 10:09:56
Max Hospital,dental treatment,10000.0,HEALTHCARE,2024-08-24,2024-08-24 10:09:56
UTI AMC,stock purchase,1698.79,INVESTMENT,2024-08-01,2024-08-01 10:09:56
Shell,Wallet Payment - monthly pass,200.0,TRANSPORTATION,2024-07-21,2024-07-21 10:09:56
Nykaa,fashion shopping,2756.61,SHOPPING,2025-08-25,2025-08-25 10:09:56
Punjabi Tadka,Debit Card Payment - breakfast delivery,1553.48,FOOD_DINING,2025-03-16,2025-03-16 10:09:56
University,tuition fee,50000.0,EDUCATION,2024-06-16,2024-06-16 10:09:56
Diagnostic Center Ltd,UPI Payment - dental treatment,6023.73,HEALTHCARE,2025-09-07,2025-09-07 10:09:56
Vijay Sales,Net Banking - grocery shopping,50314.77,SHOPPING,2024-08-09,2024-08-09 10:09:56
Tata Power,mobile recharge,500.0,UTILITIES,2025-02-17,2025-02-17 10:09:56
Nykaa,home appliances,5000.0,SHOPPING,2024-06-13,2024-06-13 10:09:56
Tiffin Service,canteen recharge,709.83,FOOD_DINING,2025-01-31,2025-01-31 10:09:56
Fun Republic,gaming,799.0,ENTERTAINMENT,2024-04-29,2024-04-29 10:09:56
TollPlaza,Wallet Payment - flight booking,4084.53,TRANSPORTATION,2024-05-01,2024-05-01 10:09:56
Event Management,donation,1000.0,MISCELLANEOUS,2025-06-01,2025-06-01 10:09:56
BigBasket,electronics,11650.88,SHOPPING,2025-06-06,2025-06-06 10:09:56
Stationery Shop,online course,79924.8,EDUCATION,2025-02-14,2025-02-14 10:09:56
Dominos,IMPS Payment - breakfast delivery,500.0,FOOD_DINING,2024-05-04,2024-05-04 10:09:56
Punjabi Tadka,snacks order,1384.93,FOOD_DINING,2025-09-03,2025-09-03 10:09:56
Supermarket,clothes purchase,3000.0,SHOPPING,2025-03-29,2025-03-29 10:09:56
Training,certification cost,89390.73,EDUCATION,2025-02-20,2025-02-20 10:09:56
Fun Republic,movie ticket,767.0,ENTERTAINMENT,2025-01-13,2025-01-13 10:09:56
AIIMS,health insurance,27336.87,HEALTHCARE,2025-06-19,2025-06-19 10:09:56
PunjabiTadka,mess fees,1800.86,FOOD_DINING,2025-08-24,2025-08-24 10:09:56
INOX,Debit Card Payment - gaming subscription,499.0,ENTERTAINMENT,2025-09-30,2025-09-30 10:09:56
Exam Fee,Net Banking - exam fee,15000.0,EDUCATION,2024-04-25,2024-04-25 10:09:56
Starbucks,weekend dining,1290.09,FOOD_DINING,2024-10-26,2024-10-26 10:09:56
AIIMS,NEFT Transfer - dental treatment,3000.0,HEALTHCARE,2024-06-01,2024-06-01 10:09:56
DSP BlackRock,life insurance premium,253610.17,INVESTMENT,2024-12-11,2024-12-11 10:09:56
Apollo Hospital,IMPS Payment - medical checkup,169.52,HEALTHCARE,2024-05-03,2024-05-03 10:09:56
Adani Power,NEFT Transfer - gas bill,500.0,UTILITIES,2024-04-29,2024-04-29 10:09:56
Wedding Expenses,UPI Payment - service fee,5061.12,MISCELLANEOUS,2024-07-31,2024-07-31 10:09:56
ICICI Prudential,share trading,25000.0,INVESTMENT,2025-10-14,2025-10-14 10:09:56
Spotify,concert booking,1705.13,ENTERTAINMENT,2025-03-14,2025-03-14 10:09:56
Airtel,UPI Payment - society dues,4990.63,UTILITIES,2024-09-14,2024-09-14 10:09:56
Nykaa,household items,188.57,SHOPPING,2024-10-14,2024-10-14 10:09:56
voot,Credit Card Payment - music subscription,199.0,ENTERTAINMENT,2025-06-16,2025-06-16 10:09:56
Pathology Lab,pharmacy,17476.4,HEALTHCARE,2025-04-10,2025-04-10 10:09:56
GoAir,Debit Card Payment - toll payment,1106.51,TRANSPORTATION,2024-07-20,2024-07-20 10:09:56
Workshop Store,school fee,35514.85,EDUCATION,2025-09-05,2025-09-05 10:09:56
Mess Payment,snacks order,400.0,FOOD_DINING,2025-06-03,2025-06-03 10:09:56
Local Store,household items,19131.05,SHOPPING,2024-08-04,2024-08-04 10:09:56
Rapido Online,flight booking,254.8,TRANSPORTATION,2024-09-01,2024-09-01 10:09:56
Spotify,movie ticket,149.0,ENTERTAINMENT,2025-01-21,2025-01-21 10:09:56
BMTC,uber ride,1000.0,TRANSPORTATION,2024-10-04,2024-10-04 10:09:56
Bowling Alley,QR Code Payment - gaming subscription,1492.99,ENTERTAINMENT,2024-06-11,2024-06-11 10:09:56
Adani Power,Wallet Payment - internet bill,1500.0,UTILITIES,2024-06-15,2024-06-15 10:09:56
Adani Power,NEFT Transfer - gas bill,5502.33,UTILITIES,2024-11-22,2024-11-22 10:09:56
Repair Service,maintenance,500.0,MISCELLANEOUS,2024-09-14,2024-09-14 10:09:56
School Fee,coaching classes,5000.0,EDUCATION,2025-03-03,2025-03-03 10:09:56
Vi,society dues,500.0,UTILITIES,2025-01-12,2025-01-12 10:09:56
Pathology Lab,pharmacy,528.63,HEALTHCARE,2025-02-03,2025-02-03 10:09:56
Tikona.com,phone bill,8840.73,UTILITIES,2024-10-03,2024-10-03 10:09:56
Voot,entertainment,1186.36,ENTERTAINMENT,2025-06-25,2025-06-25 10:09:56
Tikona,cable bill,4176.36,UTILITIES,2025-06-04,2025-06-04 10:09:56
University,Mobile Banking - workshop fee,1000.0,EDUCATION,2025-04-20,2025-04-20 10:09:56
college fee,workshop fee,25000.0,EDUCATION,2025-03-24,2025-03-24 10:09:56
DSP BlackRock,systematic investment,100000.0,INVESTMENT,2025-04-23,2025-04-23 10:09:56
Tata Sky Store,Wallet Payment - electricity bill,1659.97,UTILITIES,2025-07-13,2025-07-13 10:09:56
Mumbai Metro,monthly pass,2860.08,TRANSPORTATION,2025-01-12,2025-01-12 10:09:56
PVR Cinemas,Credit Card Payment - gaming subscription,299.0,ENTERTAINMENT,2025-09-08,2025-09-08 10:09:56
Tax Payment,tax payment,1000.0,MISCELLANEOUS,2025-05-19,2025-05-19 10:09:56
Courier Service,miscellaneous expense,8939.78,MISCELLANEOUS,2024-10-06,2024-10-06 10:09:56
Wedding Expenses,gift purchase,35366.36,MISCELLANEOUS,2025-01-06,2025-01-06 10:09:56
Gym,UPI Payment - diagnostic test,10168.9,HEALTHCARE,2024-12-19,2024-12-19 10:09:56
School Fee,course fee,63952.13,EDUCATION,2025-03-21,2025-03-21 10:09:56
Tax Payment,tax payment,2000.0,MISCELLANEOUS,2025-09-18,2025-09-18 10:09:56
Vistara,fuel refill,1000.0,TRANSPORTATION,2025-06-17,2025-06-17 10:09:56
Tikona,maintenance charges,5801.85,UTILITIES,2024-06-25,2024-06-25 10:09:56
Government Services,IMPS Payment - government fee,54400.07,MISCELLANEOUS,2024-07-22,2024-07-22 10:09:56
LOCAL CLINIC,diagnostic test,16578.08,HEALTHCARE,2024-08-30,2024-08-30 10:09:56
Dominos Pvt Ltd,Wallet Payment - lunch order,769.41,FOOD_DINING,2024-08-07,2024-08-07 10:09:56
Unacademy,educational material,25000.0,EDUCATION,2025-08-14,2025-08-14 10:09:56
LIBRARY,training program,83686.62,EDUCATION,2025-08-22,2025-08-22 10:09:56
Repair Service Pvt Ltd,repair work,100.0,MISCELLANEOUS,2025-05-15,2025-05-15 10:09:56
Eye Specialist,medical checkup,3000.0,HEALTHCARE,2024-10-17,2024-10-17 10:09:56
ICICI Prudential,share trading,349536.81,INVESTMENT,2024-07-08,2024-07-08 10:09:56
School Fee,tuition fee,1140.12,EDUCATION,2024-10-08,2024-10-08 10:09:56
Toll Plaza,uber ride,945.97,TRANSPORTATION,2025-05-15,2025-05-15 10:09:56
Health Insurance,health insurance,2000.0,HEALTHCARE,2025-02-18,2025-02-18 10:09:56
Stationery Shop,UPI Payment - coaching classes,5873.6,EDUCATION,2025-08-09,2025-08-09 10:09:56
KSEB,Mobile Banking - mobile recharge,1758.05,UTILITIES,2025-02-26,2025-02-26 10:09:56
wedding expenses,Credit Card Payment - government fee,10000.0,MISCELLANEOUS,2025-03-02,2025-03-02 10:09:56
Grofers,cosmetics,15000.0,SHOPPING,2024-11-21,2024-11-21 10:09:56
ICICI Direct,bond investment,236203.32,INVESTMENT,2024-05-26,2024-05-26 10:09:56
DSP BlackRock,life insurance premium,100000.0,INVESTMENT,2025-09-22,2025-09-22 10:09:56
Zara,mobile purchase,1195.11,SHOPPING,2025-08-31,2025-08-31 10:09:56
Apollo Hospital.com,physiotherapy,6826.87,HEALTHCARE,2024-12-01,2024-12-01 10:09:56
Jio,dth recharge,1591.2,UTILITIES,2025-02-27,2025-02-27 10:09:56
Burger King,snacks order,150.0,FOOD_DINING,2024-11-15,2024-11-15 10:09:56
HDFC Securities,investment,206377.47,INVESTMENT,2024-11-09,2024-11-09 10:09:56
Gas Agency,internet bill,1595.2,UTILITIES,2024-11-19,2024-11-19 10:09:56
BigBasket,Wallet Payment - books order,3000.0,SHOPPING,2024-05-26,2024-05-26 10:09:56
Coaching Center,workshop fee,25000.0,EDUCATION,2025-07-16,2025-07-16 10:09:56
Life Insurance,mutual fund SIP,372922.49,INVESTMENT,2025-09-30,2025-09-30 10:09:56
Photography,repair work,17789.85,MISCELLANEOUS,2024-10-26,2024-10-26 10:09:56
IOCL.com,cab ride,3964.58,TRANSPORTATION,2025-07-25,2025-07-25 10:09:56
Tata Sky Ltd,society dues,300.0,UTILITIES,2025-07-27,2025-07-27 10:09:56
Cinema Hall,netflix payment,146.7,ENTERTAINMENT,2024-10-07,2024-10-07 10:09:56
Franklin Templeton,NEFT Transfer - life insurance premium,10000.0,INVESTMENT,2024-11-14,2024-11-14 10:09:56
Training Online,tuition fee,25000.0,EDUCATION,2024-11-23,2024-11-23 10:09:56
Kolkata Metro,Mobile Banking - bus ticket,5380.33,TRANSPORTATION,2024-08-24,2024-08-24 10:09:56
Burger King Online,Mobile Banking - dinner pymnt,831.95,FOOD_DINING,2025-10-14,2025-10-14 10:09:56
Fortis Hospital,Credit Card Payment - doctor consultation,2000.0,HEALTHCARE,2024-11-19,2024-11-19 10:09:56
Adani Power,society dues,6610.55,UTILITIES,2025-09-02,2025-09-02 10:09:56
Metro Card,fuel refill,3286.68,TRANSPORTATION,2025-04-12,2025-04-12 10:09:56
Zerodha Store,investment,414227.68,INVESTMENT,2025-06-17,2025-06-17 10:09:56
Hathway,UPI Payment - mobile recharge,800.0,UTILITIES,2025-04-23,2025-04-23 10:09:56
Ajio Store,QR Code Payment - clothes purchase,6475.54,SHOPPING,2024-08-13,2024-08-13 10:09:56
Reliance Digital,cosmetics,36295.42,SHOPPING,2025-05-12,2025-05-12 10:09:56
Udemy,Net Banking - coaching classes,68411.79,EDUCATION,2025-05-15,2025-05-15 10:09:56
Indian Railways,auto fare,3081.12,TRANSPORTATION,2024-06-04,2024-06-04 10:09:56
HDFC Securities,portfolio investment,10735.13,INVESTMENT,2024-10-01,2024-10-01 10:09:56
Vi,mobile recharge,1394.03,UTILITIES,2025-10-04,2025-10-04 10:09:56
H&M,mobile purchase,10000.0,SHOPPING,2025-06-21,2025-06-21 10:09:56
Videocon D2H,Wallet Payment - electricity bill,800.0,UTILITIES,2025-05-24,2025-05-24 10:09:56
Upstox,RTGS Transfer - bond investment,10000.0,INVESTMENT,2025-02-28,2025-02-28 10:09:56
Gas Agency,water bill,5000.0,UTILITIES,2025-04-17,2025-04-17 10:09:56
Local Clinic,physiotherapy,200.0,HEALTHCARE,2024-08-18,2024-08-18 10:09:56
Mess Payment,canteen recharge,174.25,FOOD_DINING,2024-10-21,2024-10-21 10:09:56
School Fee,NEFT Transfer - coaching classes,2000.0,EDUCATION,2024-05-18,2024-05-18 10:09:56
Max Hospital,eye checkup,1000.0,HEALTHCARE,2024-09-07,2024-09-07 10:09:56
UTI AMC,portfolio investment,93757.97,INVESTMENT,2024-08-31,2024-08-31 10:09:56
HDFC Securities,tax saving investment,50000.0,INVESTMENT,2025-04-08,2025-04-08 10:09:56
HDFC Securities,Debit Card Payment - portfolio investment,82386.58,INVESTMENT,2025-04-11,2025-04-11 10:09:56
Gas Agency,internet bill,800.0,UTILITIES,2025-07-06,2025-07-06 10:09:56
LocalStore,grocery shopping,3000.0,SHOPPING,2024-05-30,2024-05-30 10:09:56
Jio,society dues,1278.02,UTILITIES,2024-06-26,2024-06-26 10:09:56
Parking Fee Online,Credit Card Payment - bus ticket,50.0,TRANSPORTATION,2024-05-18,2024-05-18 10:09:56
Metro Card,bus ticket,839.81,TRANSPORTATION,2024-11-13,2024-11-13 10:09:56
HDFC AMC,Debit Card Payment - tax saving investment,5000.0,INVESTMENT,2025-06-15,2025-06-15 10:09:56
IOCL,NEFT Transfer - flight booking,1497.21,TRANSPORTATION,2025-07-03,2025-07-03 10:09:56
Cleaning Service,maintenance,8934.31,MISCELLANEOUS,2025-08-11,2025-08-11 10:09:56
Water Park,gaming subscription,340.46,ENTERTAINMENT,2024-08-07,2024-08-07 10:09:56
Zara,IMPS Payment - medicine purchase,15000.0,SHOPPING,2025-03-20,2025-03-20 10:09:56
Health Insurance,QR Code Payment - doctor consultation,10000.0,HEALTHCARE,2024-07-24,2024-07-24 10:09:56
Chennai Metro,Debit Card Payment - bus ticket,68.88,TRANSPORTATION,2025-06-10,2025-06-10 10:09:56
Zee5,streaming subscription,1295.04,ENTERTAINMENT,2025-04-17,2025-04-17 10:09:56
Dhaba Express,QR Code Payment - breakfast delivery,583.63,FOOD_DINING,2025-09-05,2025-09-05 10:09:56
Fortis Hospital,eye checkup,10000.0,HEALTHCARE,2024-12-14,2024-12-14 10:09:56
BigBasket,household items,1000.0,SHOPPING,2025-06-18,2025-06-18 10:09:56
Netflix,music subscription,685.61,ENTERTAINMENT,2025-04-19,2025-04-19 10:09:56
Vistara,cab ride,1000.0,TRANSPORTATION,2024-06-07,2024-06-07 10:09:56
Kotak Securities,share trading,1000.0,INVESTMENT,2024-06-22,2024-06-22 10:09:56
AxisMutualFund,share trading,464806.98,INVESTMENT,2024-10-14,2024-10-14 10:09:56
WBSEDCL,electricity bill,507.08,UTILITIES,2025-02-04,2025-02-04 10:09:56
Medical Store,diagnostic test,1000.0,HEALTHCARE,2024-09-21,2024-09-21 10:09:56
Dental Clinic,medical emergency,200.0,HEALTHCARE,2025-10-13,2025-10-13 10:09:56
GiftShop,donation,2199.51,MISCELLANEOUS,2025-07-06,2025-07-06 10:09:56
Health Insurance Ltd,eye checkup,752.92,HEALTHCARE,2025-02-28,2025-02-28 10:09:56
Oven Story,Debit Card Payment - party order,100.0,FOOD_DINING,2025-09-09,2025-09-09 10:09:56
Sony LIV India,prime subscription,149.0,ENTERTAINMENT,2024-12-24,2024-12-24 10:09:56
Photography,maintenance,2909.38,MISCELLANEOUS,2025-01-24,2025-01-24 10:09:56
ICICI Direct,IMPS Payment - investment,1000.0,INVESTMENT,2025-09-06,2025-09-06 10:09:56
Certification,coaching classes,13138.33,EDUCATION,2025-08-31,2025-08-31 10:09:56
Gym,eye checkup,2027.25,HEALTHCARE,2025-08-07,2025-08-07 10:09:56
Coaching Center,educational material,79961.31,EDUCATION,2025-05-27,2025-05-27 10:09:56
Auto Driver Store,monthly pass,2397.95,TRANSPORTATION,2025-07-09,2025-07-09 10:09:56
Pantaloons,UPI Payment - grocery shopping,200.0,SHOPPING,2024-08-18,2024-08-18 10:09:56
BMTC Pvt Ltd,flight booking,1650.53,TRANSPORTATION,2024-09-01,2024-09-01 10:09:56
ICICI Prudential,QR Code Payment - tax saving investment,271409.76,INVESTMENT,2025-06-28,2025-06-28 10:09:56
WBSEDCL,gas bill,1000.0,UTILITIES,2025-01-03,2025-01-03 10:09:56
Mess Payment,NEFT Transfer - breakfast delivery,250.0,FOOD_DINING,2025-01-14,2025-01-14 10:09:56
Bank Charges,government fee,100.0,MISCELLANEOUS,2024-08-01,2024-08-01 10:09:56
Uniqlo,UPI Payment - cosmetics,40714.72,SHOPPING,2025-01-10,2025-01-10 10:09:56
Voot,show tickets,1499.0,ENTERTAINMENT,2024-09-26,2024-09-26 10:09:56
Bakery Shop,Mobile Banking - weekend dining,222.32,FOOD_DINING,2024-11-16,2024-11-16 10:09:56
Adani Power,water bill,1029.91,UTILITIES,2024-08-07,2024-08-07 10:09:56
Physiotherapy,Debit Card Payment - eye checkup,10980.99,HEALTHCARE,2025-01-20,2025-01-20 10:09:56
IOCL,auto fare,489.97,TRANSPORTATION,2025-01-05,2025-01-05 10:09:56
CoachingCenter,training program,81297.24,EDUCATION,2024-06-27,2024-06-27 10:09:56
Gym,Mobile Banking - pharmacy,200.0,HEALTHCARE,2024-05-26,2024-05-26 10:09:56
Kotak Securities,bond investment,100000.0,INVESTMENT,2025-04-19,2025-04-19 10:09:56
Burger King.com,food delivery,165.67,FOOD_DINING,2024-04-30,2024-04-30 10:09:56
Gift Shop,Net Banking - personal care,2000.0,MISCELLANEOUS,2024-11-18,2024-11-18 10:09:56
Udemy,course fee,8074.33,EDUCATION,2025-05-20,2025-05-20 10:09:56
Pharmacy,physiotherapy,10672.57,HEALTHCARE,2024-08-15,2024-08-15 10:09:56
KSEB,QR Code Payment - internet bill,2369.03,UTILITIES,2025-04-27,2025-04-27 10:09:56
Auto Driver,IMPS Payment - ola booking,1000.0,TRANSPORTATION,2024-06-06,2024-06-06 10:09:56
AIIMS,dental treatment,5878.49,HEALTHCARE,2025-04-06,2025-04-06 10:09:56
Online Course,exam fee,92149.48,EDUCATION,2024-07-25,2024-07-25 10:09:56
Max Hospital,pharmacy,5000.0,HEALTHCARE,2024-06-17,2024-06-17 10:09:56
Voot,movie ticket,887.15,ENTERTAINMENT,2025-02-15,2025-02-15 10:09:56
Ajio,grocery shopping,3143.74,SHOPPING,2025-09-14,2025-09-14 10:09:56
Ajio,fashion shopping,14259.76,SHOPPING,2024-05-28,2024-05-28 10:09:56
Sagar Ratna,mess fees,1211.51,FOOD_DINING,2024-10-16,2024-10-16 10:09:56
Coaching Center,certification cost,25000.0,EDUCATION,2025-08-12,2025-08-12 10:09:56
Shell,Credit Card Payment - ola booking,300.0,TRANSPORTATION,2024-12-19,2024-12-19 10:09:56
University,NEFT Transfer - course fee,11473.15,EDUCATION,2025-04-07,2025-04-07 10:09:56
Water Board,RTGS Transfer - phone bill,800.0,UTILITIES,2025-09-10,2025-09-10 10:09:56
Health Insurance,Mobile Banking - eye checkup,10000.0,HEALTHCARE,2025-09-28,2025-09-28 10:09:56
H&M,laptop buying,2000.0,SHOPPING,2024-07-30,2024-07-30 10:09:56
Photography India,repair work,15358.27,MISCELLANEOUS,2024-11-05,2024-11-05 10:09:56
Tuition Teacher,training program,5000.0,EDUCATION,2025-04-06,2025-04-06 10:09:56
DTC Ltd,cab ride,300.0,TRANSPORTATION,2025-02-21,2025-02-21 10:09:56
SpiceJet,parking charges,2000.0,TRANSPORTATION,2025-05-13,2025-05-13 10:09:56
ICICI Prudential,Debit Card Payment - investment,8444.01,INVESTMENT,2025-09-28,2025-09-28 10:09:56
Flipkart,mobile purchase,2000.0,SHOPPING,2024-08-29,2024-08-29 10:09:56
Life Insurance,tax saving investment,32927.15,INVESTMENT,2024-10-06,2024-10-06 10:09:56
Coursera,school fee,5000.0,EDUCATION,2024-11-01,2024-11-01 10:09:56
MSEB,internet bill,5982.57,UTILITIES,2025-02-02,2025-02-02 10:09:56
IRCTC Store,fuel refill,80.0,TRANSPORTATION,2024-07-11,2024-07-11 10:09:56
Dental Clinic,dental treatment,23117.2,HEALTHCARE,2025-08-28,2025-08-28 10:09:56
voot,show tickets,415.23,ENTERTAINMENT,2024-05-19,2024-05-19 10:09:56
Book Store India,certification cost,2857.13,EDUCATION,2024-12-21,2024-12-21 10:09:56
ICICI Direct,bond investment,2000.0,INVESTMENT,2025-10-13,2025-10-13 10:09:56
DSP BlackRock,IMPS Payment - bond investment,50000.0,INVESTMENT,2025-02-14,2025-02-14 10:09:56
Grofers,clothes purchase,6261.91,SHOPPING,2024-08-06,2024-08-06 10:09:56
Angel Broking Online,tax saving investment,10000.0,INVESTMENT,2025-05-20,2025-05-20 10:09:56
School Fee,UPI Payment - school fee,2000.0,EDUCATION,2025-04-04,2025-04-04 10:09:56
WBSEDCL,Wallet Payment - maintenance charges,8351.53,UTILITIES,2025-10-03,2025-10-03 10:09:56
Dominos Ltd,UPI Payment - office lunch,437.46,FOOD_DINING,2024-09-08,2024-09-08 10:09:56
Wellness Center,diagnostic test,9311.11,HEALTHCARE,2024-05-23,2024-05-23 10:09:56
Parking Fee,monthly pass,2000.0,TRANSPORTATION,2025-04-23,2025-04-23 10:09:56
Shell,Wallet Payment - toll payment,306.01,TRANSPORTATION,2024-09-10,2024-09-10 10:09:56
Wedding Expenses,government fee,5000.0,MISCELLANEOUS,2024-04-26,2024-04-26 10:09:56
Supermarket,books order,23005.78,SHOPPING,2025-05-13,2025-05-13 10:09:56
SBI Securities.com,QR Code Payment - portfolio investment,78042.68,INVESTMENT,2025-01-20,2025-01-20 10:09:56
Eye Specialist,IMPS Payment - medical checkup,23472.16,HEALTHCARE,2025-10-09,2025-10-09 10:09:56
Vijay Sales,home appliances,45835.59,SHOPPING,2024-11-26,2024-11-26 10:09:56
Indian Railways,metro recharge,804.24,TRANSPORTATION,2024-06-17,2024-06-17 10:09:56
Max Hospital Online,medicine purchase,9738.08,HEALTHCARE,2025-09-09,2025-09-09 10:09:56
Bowling Alley,prime subscription,149.0,ENTERTAINMENT,2024-09-03,2024-09-03 10:09:56
KFC,Net Banking - restaurant bill,300.0,FOOD_DINING,2024-06-12,2024-06-12 10:09:56
ICICI Prudential,QR Code Payment - portfolio investment,314163.05,INVESTMENT,2024-05-20,2024-05-20 10:09:56
Pathology Lab India,IMPS Payment - eye checkup,8035.24,HEALTHCARE,2025-04-10,2025-04-10 10:09:56
Dental Clinic,Wallet Payment - medical emergency,7648.3,HEALTHCARE,2024-09-18,2024-09-18 10:09:56
Life Insurance,life insurance premium,50000.0,INVESTMENT,2025-02-12,2025-02-12 10:09:56
Zara,UPI Payment - home appliances,2000.0,SHOPPING,2025-02-10,2025-02-10 10:09:56
WORKSHOP,school fee,50000.0,EDUCATION,2025-02-26,2025-02-26 10:09:56
Tax Payment,UPI Payment - personal care,1000.0,MISCELLANEOUS,2024-05-10,2024-05-10 10:09:56
Aditya Birla Sun Life,NEFT Transfer - portfolio investment,100000.0,INVESTMENT,2024-07-24,2024-07-24 10:09:56
McDonalds,mess fees,92.37,FOOD_DINING,2025-07-02,2025-07-02 10:09:56
max fashion,mobile purchase,1500.0,SHOPPING,2025-05-16,2025-05-16 10:09:56
INOX,entertainment,1463.97,ENTERTAINMENT,2025-07-29,2025-07-29 10:09:56
Gift Shop,personal care,500.0,MISCELLANEOUS,2025-03-29,2025-03-29 10:09:56
Dental Clinic,eye checkup,3060.07,HEALTHCARE,2025-04-11,2025-04-11 10:09:56
Haldirams,canteen recharge,734.85,FOOD_DINING,2025-06-26,2025-06-26 10:09:56
Swiggy,IMPS Payment - weekend dining,658.93,FOOD_DINING,2025-08-05,2025-08-05 10:09:56
KFC,food court payment,250.0,FOOD_DINING,2025-02-27,2025-02-27 10:09:56
INOX,prime subscription,999.0,ENTERTAINMENT,2025-09-17,2025-09-17 10:09:56
Medical Store,laptop buying,25150.72,SHOPPING,2025-01-07,2025-01-07 10:09:56
Food Court,dinner pymnt,500.0,FOOD_DINING,2025-05-24,2025-05-24 10:09:56
Axis Mutual Fund,NEFT Transfer - systematic investment,5000.0,INVESTMENT,2024-11-20,2024-11-20 10:09:56
Coursera,coaching classes,50000.0,EDUCATION,2024-07-24,2024-07-24 10:09:56
Physiotherapy,diagnostic test,5126.82,HEALTHCARE,2025-03-05,2025-03-05 10:09:56
